# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
  137       1.972068899482e-13       1.654392287397e-12       1.462908354042e-12       8.911310588819e-13                     -nan       4.137605455557e-13       4.101509517425e-12 
  138       1.948914100203e-13       1.633288143981e-12       1.453336249830e-12       8.834450165033e-13                     -nan       4.079036754923e-13       4.044021836261e-12 
  139       1.926280963443e-13       1.612657030415e-12       1.444078269643e-12       8.759621628047e-13                     -nan       4.021805940915e-13       3.987845891722e-12 
  140       1.904145299169e-13       1.592477167742e-12       1.435121715694e-12       8.686734485868e-13                     -nan       3.965852347568e-13       3.932922197869e-12 
  141       1.882479099055e-13       1.572723363383e-12       1.426451764162e-12       8.615683662489e-13                     -nan       3.911105924021e-13       3.879182050086e-12 
  142       1.861250448900e-13       1.553366933005e-12       1.418051415953e-12       8.546349161808e-13                     -nan       3.857487020569e-13       3.826547314845e-12 
  143       1.840423441040e-13       1.534375622399e-12       1.409901447458e-12       8.478595731557e-13                     -nan       3.804906174725e-13       3.774930219453e-12 
  144       1.819966295397e-13       1.515720875062e-12       1.401984928820e-12       8.412303792159e-13                     -nan       3.753284123360e-13       3.724253009549e-12 
  145       1.799876809838e-13       1.497400607388e-12       1.394301384701e-12       8.347466369344e-13                     -nan       3.702614514390e-13       3.674509549589e-12 
  146       1.780159264067e-13       1.479418540749e-12       1.386853942470e-12       8.284101123409e-13                     -nan       3.652906999706e-13       3.625709423953e-12 
  147       1.760816396243e-13       1.461777021806e-12       1.379644867279e-12       8.222219787384e-13                     -nan       3.604167467402e-13       3.577858519314e-12 
  148       1.741849362572e-13       1.444476986606e-12       1.372675539064e-12       8.161828010630e-13                     -nan       3.556397944078e-13       3.530958928586e-12 
  149       1.723257696901e-13       1.427517924669e-12       1.365946429566e-12       8.102925202455e-13                     -nan       3.509596497130e-13       3.485008854856e-12 
  150       1.705039270306e-13       1.410897843078e-12       1.359457079331e-12       8.045504375712e-13                     -nan       3.463757137051e-13       3.440002515325e-12 
  151       1.687190250683e-13       1.394613230577e-12       1.353206074728e-12       7.989551990413e-13                     -nan       3.418869719727e-13       3.395930045248e-12 
  152       1.669705062344e-13       1.378659021651e-12       1.347191024957e-12       7.935047797335e-13                     -nan       3.374919848736e-13       3.352777401867e-12 
  153       1.652576345603e-13       1.363028560628e-12       1.341408539055e-12       7.881964681623e-13                     -nan       3.331888777643e-13       3.310526268358e-12 
  154       1.635794916372e-13       1.347713565761e-12       1.335854202914e-12       7.830268506400e-13                     -nan       3.289753312298e-13       3.269153957763e-12 
  155       1.619349725747e-13       1.332704093324e-12       1.330522556285e-12       7.779917956376e-13                     -nan       3.248485713133e-13       3.228633316932e-12 
  156       1.603227819606e-13       1.317988501701e-12       1.325407069792e-12       7.730864381452e-13                     -nan       3.208053597460e-13       3.188932630458e-12 
