# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
  163       1.483325372297e-13       1.214975843287e-12       1.287879129535e-12       7.395347825788e-13                     -nan       2.903905245086e-13       2.888107638184e-12 
  164       1.469382809311e-13       1.202215564239e-12       1.284239795041e-12       7.354823468100e-13                     -nan       2.869341335227e-13       2.854185536910e-12 
  165       1.455675836542e-13       1.189670795246e-12       1.280774255256e-12       7.315271519295e-13                     -nan       2.835388984068e-13       2.820863880990e-12 
  166       1.442204668875e-13       1.177341672008e-12       1.277483369914e-12       7.276693263579e-13                     -nan       2.802048174668e-13       2.788142725528e-12 
  167       1.428968680824e-13       1.165227581679e-12       1.274367522904e-12       7.239086690859e-13                     -nan       2.769316870861e-13       2.756020140782e-12 
  168       1.415966387993e-13       1.153327146415e-12       1.271426611530e-12       7.202446423679e-13                     -nan       2.737190973208e-13       2.724492168838e-12 
  169       1.403195428534e-13       1.141638206929e-12       1.268660035765e-12       7.166763644159e-13                     -nan       2.705664274958e-13       2.693552780282e-12 
  170       1.390652544614e-13       1.130157806038e-12       1.266066687517e-12       7.132026020928e-13                     -nan       2.674728418004e-13       2.663193830865e-12 
  171       1.378333563869e-13       1.118882172220e-12       1.263644939881e-12       7.098217636069e-13                     -nan       2.644372848840e-13       2.633405018182e-12 
  172       1.366233380867e-13       1.107806703157e-12       1.261392636402e-12       7.065318912049e-13                     -nan       2.614584774518e-13       2.604173838335e-12 
  173       1.354345938569e-13       1.096925949291e-12       1.259307080331e-12       7.033306538660e-13                     -nan       2.585349118607e-13       2.575485542610e-12 
  174       1.342664209790e-13       1.086233597377e-12       1.257385023885e-12       7.002153399956e-13                     -nan       2.556648477149e-13       2.547323094143e-12 
  175       1.331180178658e-13       1.075722454027e-12       1.255622657505e-12       6.971828501189e-13                     -nan       2.528463074613e-13       2.519667124593e-12 
  176       1.319884822074e-13       1.065384429269e-12       1.254015599117e-12       6.942296895749e-13                     -nan       2.500770719858e-13       2.492495890813e-12 
  177       1.308768091175e-13       1.055210520090e-12       1.252558883388e-12       6.913519612098e-13                     -nan       2.473546762087e-13       2.465785231520e-12 
  178       1.297818892793e-13       1.045190793995e-12       1.251246950983e-12       6.885453580711e-13                     -nan       2.446764046804e-13       2.439508523965e-12 
  179       1.287025070916e-13       1.035314372551e-12       1.250073637829e-12       6.858051561010e-13                     -nan       2.420392871774e-13       2.413636640605e-12 
  180       1.276376078292e-13       1.025571813157e-12       1.249033691172e-12       6.831272474192e-13                     -nan       2.394407415401e-13       2.388144262889e-12 
  181       1.265871267443e-13       1.015962500402e-12       1.248127474957e-12       6.805113472799e-13                     -nan       2.368805685305e-13       2.363029474347e-12 
  182       1.255512224623e-13       1.006487812012e-12       1.247356618714e-12       6.779580285935e-13                     -nan       2.343591074535e-13       2.338295645339e-12 
  183       1.245300130328e-13       9.971487658729e-13       1.246722519287e-12       6.754677007961e-13                     -nan       2.318766011589e-13       2.313945196125e-12 
  184       1.235235750662e-13       9.879460124125e-13       1.246226335717e-12       6.730406063762e-13                     -nan       2.294331940201e-13       2.289979576951e-12 
  185       1.225319428710e-13       9.788798269865e-13       1.245868984124e-12       6.706768174016e-13                     -nan       2.270289299145e-13       2.266399248133e-12 
  186       1.215551075905e-13       9.699501022622e-13       1.245651132587e-12       6.683762320451e-13                     -nan       2.246637502028e-13       2.243203660144e-12 
  187       1.205930163398e-13       9.611563406024e-13       1.245573196030e-12       6.661385711118e-13                     -nan       2.223374917085e-13       2.220391233699e-12 
  188       1.196455713424e-13       9.524976464500e-13       1.245635331101e-12       6.639633745648e-13                     -nan       2.200498846983e-13       2.197959339841e-12 
  189       1.187126290676e-13       9.439727187120e-13       1.245837431056e-12       6.618499980523e-13                     -nan       2.178005508608e-13       2.175904280025e-12 
  190       1.177939993669e-13       9.355798431438e-13       1.246179120640e-12       6.597976094338e-13                     -nan       2.155890012871e-13       2.154221266204e-12 
  191       1.168894446113e-13       9.273168847334e-13       1.246659750972e-12       6.578051853064e-13                     -nan       2.134146344497e-13       2.132904400917e-12 
